item_name,category_name,records_json
壮族嘹歌,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""广西壮族自治区平果县"", ""保护单位"": ""平果市文化体育推广中心（平果市民俗文化传承展示中心）""}]"
柯尔克孜约隆,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""新疆维吾尔自治区阿克陶县"", ""保护单位"": ""新疆阿克陶县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""新疆师范大学"", ""保护单位"": ""新疆师范大学""}]"
笑话（万荣笑话）,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山西省万荣县"", ""保护单位"": ""万荣县笑话发展协会""}]"
天坛传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""北京市东城区"", ""保护单位"": ""北京市天坛公园管理处""}]"
曹雪芹传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""北京市海淀区"", ""保护单位"": ""北京市植物园""}]"
契丹始祖传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""河北省平泉县"", ""保护单位"": ""平泉市文化馆""}]"
赵氏孤儿传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山西省盂县"", ""保护单位"": ""盂县人民文化馆""}]"
白马拖缰传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山西省晋城市城区"", ""保护单位"": ""晋城市城区文化馆""}]"
舜的传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山西省沁水县"", ""保护单位"": ""沁水县文化馆""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山东省诸城市"", ""保护单位"": ""诸城市文化馆""}]"
禹的传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""四川省汶川县"", ""保护单位"": ""汶川县文化馆""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""四川省北川羌族自治县"", ""保护单位"": ""北川羌族自治县文化馆""}]"
禹的传说（武汉大禹治水传说）,民间文学,"[{""公布时间"": ""2021(第五批)"", ""申报地区或单位"": ""湖北省武汉市汉阳区"", ""保护单位"": ""武汉市晴川阁管理处（武汉大禹文化博物馆）""}]"
